Date,BFSI
Mar-01,0.007
Mar-01,0.018
Mar-01,0.033
Mar-01,0.045
Mar-01,0.058
Mar-01,0.07
Mar-01,0.086
Mar-01,0.103
Mar-01,0.125
Mar-01,0.146
Mar-01,0.164
Mar-01,0.175
Mar-01,0.181
Apr-01,0.182
Apr-01,0.185
Apr-01,0.193
Apr-01,0.203
Apr-01,0.217
Apr-01,0.235
Apr-01,0.249
Apr-01,0.257
Apr-01,0.263
Apr-01,0.261
Apr-01,0.254
Apr-01,0.245
Apr-01,0.24
Apr-01,0.233
Apr-01,0.227
Apr-01,0.222
Apr-01,0.22
Apr-01,0.211
Apr-01,0.206
Apr-01,0.2
Apr-01,0.188
May-01,0.169
May-01,0.151
May-01,0.129
May-01,0.11
May-01,0.097
May-01,0.089
May-01,0.082
May-01,0.075
May-01,0.063
May-01,0.048
May-01,0.036
May-01,0.027
May-01,0.023
May-01,0.025
May-01,0.026
May-01,0.022
May-01,0.015
May-01,0.003
May-01,-0.011
May-01,-0.022
May-01,-0.032
May-01,-0.04
May-01,-0.045
Jun-01,-0.051
Jun-01,-0.059
Jun-01,-0.068
Jun-01,-0.079
Jun-01,-0.093
Jun-01,-0.106
Jun-01,-0.117
Jun-01,-0.125
Jun-01,-0.129
Jun-01,-0.129
Jun-01,-0.124
Jun-01,-0.119
Jun-01,-0.113
Jun-01,-0.107
Jun-01,-0.106
Jun-01,-0.107
Jun-01,-0.111
Jun-01,-0.115
Jun-01,-0.121
Jun-01,-0.126
Jun-01,-0.13
Jul-01,-0.136
Jul-01,-0.143
Jul-01,-0.149
Jul-01,-0.154
Jul-01,-0.158
Jul-01,-0.16
Jul-01,-0.159
Jul-01,-0.154
Jul-01,-0.147
Jul-01,-0.139
Jul-01,-0.128
Jul-01,-0.115
Jul-01,-0.101
Jul-01,-0.086
Jul-01,-0.07
Jul-01,-0.054
Jul-01,-0.041
Jul-01,-0.034
Jul-01,-0.03
Jul-01,-0.031
Jul-01,-0.035
Jul-01,-0.04
Aug-01,-0.045
Aug-01,-0.052
Aug-01,-0.06
Aug-01,-0.067
Aug-01,-0.075
Aug-01,-0.082
Aug-01,-0.086
Aug-01,-0.089
