Date,Valuation Index
Dec-80,-0.093294332
Dec-80,-0.094618319
Dec-80,-0.091873086
Dec-80,-0.084401206
Dec-80,-0.083079522
Dec-80,-0.080132831
Dec-80,-0.074559302
Dec-80,-0.076268325
Dec-80,-0.074834838
Dec-80,-0.07510833
Dec-80,-0.073201614
Dec-80,-0.078795972
Dec-80,-0.077998095
Dec-80,-0.076947283
Jan-81,-0.077222643
Jan-81,-0.0750317
Jan-81,-0.070855504
Jan-81,-0.071510367
Jan-81,-0.083922166
Jan-81,-0.090173078
Jan-81,-0.088742638
Jan-81,-0.088916952
Jan-81,-0.090746397
Jan-81,-0.089704818
Jan-81,-0.087232145
Jan-81,-0.084669319
Jan-81,-0.08647705
Jan-81,-0.095889084
Jan-81,-0.097537056
Jan-81,-0.101350869
Jan-81,-0.100838409
Jan-81,-0.103541991
Jan-81,-0.100311203
Jan-81,-0.102515517
Jan-81,-0.102851044
Jan-81,-0.105700435
Feb-81,-0.116315501
Feb-81,-0.112217138
Feb-81,-0.111306957
Feb-81,-0.107550151
Feb-81,-0.103462795
Feb-81,-0.108467997
Feb-81,-0.109075237
Feb-81,-0.112331436
Feb-81,-0.115081054
Feb-81,-0.116834712
Feb-81,-0.117603093
Feb-81,-0.115993681
Feb-81,-0.114294768
Feb-81,-0.120549956
Feb-81,-0.12137753
Feb-81,-0.119928649
Feb-81,-0.119504363
Feb-81,-0.117063648
Feb-81,-0.112086875
Feb-81,-0.109973854
Mar-81,-0.108271669
Mar-81,-0.112502608
Mar-81,-0.111916624
Mar-81,-0.114524303
Mar-81,-0.112728917
Mar-81,-0.11006962
Mar-81,-0.112682122
Mar-81,-0.114195566
Mar-81,-0.104821418
Mar-81,-0.104452705
Mar-81,-0.100434935
Mar-81,-0.102774056
Mar-81,-0.101932388
Mar-81,-0.103844689
Mar-81,-0.100765759
Mar-81,-0.096568835
Mar-81,-0.099165516
Mar-81,-0.089096349
Mar-81,-0.091329559
Mar-81,-0.099374117
Mar-81,-0.101369282
Mar-81,-0.097930237
Apr-81,-0.094210897
Apr-81,-0.094345556
Apr-81,-0.096315522
Apr-81,-0.101412165
Apr-81,-0.101405562
Apr-81,-0.099960334
Apr-81,-0.098432553
Apr-81,-0.098085136
Apr-81,-0.1030623
Apr-81,-0.105417573
Apr-81,-0.100677721
Apr-81,-0.098520317
Apr-81,-0.09861621
Apr-81,-0.096667861
Apr-81,-0.100738595
Apr-81,-0.100993457
Apr-81,-0.101140017
Apr-81,-0.097670002
Apr-81,-0.096990642
Apr-81,-0.101159755
Apr-81,-0.10522286
Apr-81,-0.105244819
May-81,-0.105349492
May-81,-0.112808133
May-81,-0.114317118
May-81,-0.112630986
May-81,-0.109584902
May-81,-0.10905027
May-81,-0.115376811
May-81,-0.112643651
May-81,-0.11248066
May-81,-0.109631066
May-81,-0.106788544
May-81,-0.106181627
May-81,-0.10786361
May-81,-0.107212769
May-81,-0.107501306
May-81,-0.108126082
May-81,-0.10841071
May-81,-0.104281785
May-81,-0.101101914
May-81,-0.101784182
May-81,-0.104865863
Jun-81,-0.106001005
Jun-81,-0.112248973
Jun-81,-0.112232525
Jun-81,-0.111402054
Jun-81,-0.107892446
Jun-81,-0.10825335
Jun-81,-0.109750628
Jun-81,-0.108585676
Jun-81,-0.103933484
Jun-81,-0.104573252
Jun-81,-0.104574824
Jun-81,-0.109582069
Jun-81,-0.106761169
Jun-81,-0.111827016
Jun-81,-0.109038185
Jun-81,-0.110223615
Jun-81,-0.106001767
Jun-81,-0.10830567
Jun-81,-0.107639311
Jun-81,-0.108960066
Jun-81,-0.111777381
Jun-81,-0.11409159
Jul-81,-0.118475358
Jul-81,-0.12233894
Jul-81,-0.122515909
Jul-81,-0.127760898
Jul-81,-0.12607752
Jul-81,-0.125639252
Jul-81,-0.123249388
Jul-81,-0.122881675
Jul-81,-0.122704773
Jul-81,-0.124214524
Jul-81,-0.121236181
Jul-81,-0.120584362
Jul-81,-0.119066303
Jul-81,-0.125963237
Jul-81,-0.127767031
Jul-81,-0.132009026
Jul-81,-0.130882433
Jul-81,-0.127810829
Jul-81,-0.124270917
Jul-81,-0.127076242
Jul-81,-0.127436609
Jul-81,-0.125141689
Jul-81,-0.122485636
Aug-81,-0.124644663
Aug-81,-0.123007195
Aug-81,-0.118180763
Aug-81,-0.117613708
Aug-81,-0.119979336
Aug-81,-0.118961742
Aug-81,-0.114956221
Aug-81,-0.116067269
Aug-81,-0.11535007
Aug-81,-0.118346596
Aug-81,-0.123068235
Aug-81,-0.128558044
Aug-81,-0.127618025
Aug-81,-0.12692409
Aug-81,-0.13080207
Aug-81,-0.143740252
Aug-81,-0.146125659
Aug-81,-0.146853874
Aug-81,-0.15123929
Aug-81,-0.149440131
Aug-81,-0.154302941
Sep-81,-0.154266265
Sep-81,-0.15292102
Sep-81,-0.161195218
Sep-81,-0.165101709
Sep-81,-0.165594183
Sep-81,-0.173777442
Sep-81,-0.172824569
Sep-81,-0.167678626
Sep-81,-0.162776641
Sep-81,-0.166144003
Sep-81,-0.169108627
Sep-81,-0.172484156
Sep-81,-0.178268497
Sep-81,-0.181817629
Sep-81,-0.180083687
Sep-81,-0.181878793
Sep-81,-0.186352635
Sep-81,-0.188332139
Sep-81,-0.1972115
Sep-81,-0.190147634
Sep-81,-0.187528248
Sep-81,-0.186529623
Oct-81,-0.183567778
Oct-81,-0.176065785
Oct-81,-0.175286653
Oct-81,-0.175164959
Oct-81,-0.169207987
Oct-81,-0.165550306
Oct-81,-0.167709231
Oct-81,-0.168491915
Oct-81,-0.16923166
Oct-81,-0.175439062
Oct-81,-0.173250025
Oct-81,-0.17454669
Oct-81,-0.175278624
Oct-81,-0.171483002
Oct-81,-0.172160919
Oct-81,-0.173233658
Oct-81,-0.176335772
Oct-81,-0.177976049
Oct-81,-0.174592323
Oct-81,-0.173886598
Oct-81,-0.175475809
Oct-81,-0.167439489
Nov-81,-0.160143086
Nov-81,-0.158056295
Nov-81,-0.157954725
Nov-81,-0.160672815
Nov-81,-0.163093889
Nov-81,-0.161446127
Nov-81,-0.163175567
Nov-81,-0.162505159
Nov-81,-0.161358031
Nov-81,-0.166180154
Nov-81,-0.171588298
